datetime,open,high,low,close
2022-05-11 10:00:00,34489.1,34522.8,34458.8,34466.5
2023-04-13 09:30:00,41567.9,41798.05,41567.9,41712.7
2023-05-03 10:45:00,43270.4,43313.7,43249.4,43290.4
2022-04-08 11:15:00,37456.8,37503.9,37405.2,37447.2
2023-04-21 15:00:00,42140.1,42179.95,42128.1,42153.3
2022-06-21 11:15:00,33194.5,33201.4,33127.1,33167.2
2022-04-22 13:45:00,36303.1,36303.45,36239.1,36257.5
2022-09-29 14:30:00,37693.5,37845.5,37638.6,37806.3
2022-12-21 13:15:00,43099.8,43103.9,42953.65,42987.7
2022-12-06 10:45:00,43228.6,43239.3,43183.55,43195.6
2022-11-30 12:00:00,42941.5,42974.55,42913.45,42931.1
2022-11-17 12:30:00,42460.0,42510.9,42458.2,42510.3
2023-02-22 11:00:00,40232.4,40241.1,40149.0,40183.2
2022-11-22 12:00:00,42405.2,42432.95,42391.2,42423.6
2022-07-11 11:45:00,35235.9,35266.0,35217.05,35264.2
2022-01-24 12:00:00,37116.4,37172.7,37049.0,37080.1
2022-12-16 11:00:00,43136.3,43236.3,43118.5,43223.4
2023-05-18 15:00:00,43835.8,43857.25,43673.7,43755.4
2022-10-06 14:45:00,39319.1,39379.05,39300.6,39358.2
2023-05-15 12:45:00,44076.7,44095.15,44046.45,44078.4
2023-05-08 14:30:00,43298.2,43351.2,43281.7,43340.1
2022-02-17 14:45:00,37605.9,37642.1,37531.2,37601.1
2022-04-28 11:15:00,36008.6,36069.4,35996.8,36068.1
2023-05-18 11:15:00,44029.3,44061.7,44003.65,44007.9
2022-05-18 11:00:00,34494.3,34528.7,34464.3,34492.9
2023-02-10 11:15:00,41636.4,41652.65,41606.35,41609.0
2022-05-23 14:15:00,34379.9,34461.3,34356.5,34419.2
2022-05-27 11:30:00,35489.9,35516.5,35436.45,35438.9
2023-04-21 11:30:00,42204.4,42224.95,42161.9,42195.1
2023-06-13 09:45:00,44115.2,44120.25,44081.4,44085.1
2023-03-24 10:00:00,39583.6,39592.4,39462.2,39553.9
2023-03-10 09:45:00,40426.1,40522.4,40410.75,40518.8
2022-09-06 13:45:00,39852.4,39892.55,39758.2,39869.9
2023-05-11 10:45:00,43617.5,43647.0,43571.3,43594.6
2022-04-25 12:45:00,35999.9,36103.7,35978.45,36076.9
2023-07-21 13:00:00,46090.3,46130.75,46055.45,46096.5
2023-05-09 13:00:00,43474.0,43488.0,43417.05,43423.0
2023-05-23 10:45:00,44038.7,44084.35,44038.7,44053.8
2023-02-23 09:30:00,39826.9,39850.75,39698.0,39706.4
2023-03-09 14:30:00,41396.2,41403.2,41346.1,41380.7
2022-05-17 10:00:00,33749.9,33803.45,33680.6,33793.9
2022-10-11 13:30:00,38945.8,38986.6,38889.05,38956.2
2023-04-28 14:45:00,43066.6,43085.4,43013.45,43019.8
2023-04-05 11:45:00,40854.0,40893.1,40847.2,40881.4
2022-11-29 12:30:00,43155.5,43188.0,43137.6,43177.6
2023-03-09 11:45:00,41634.3,41635.9,41543.75,41579.8
2023-01-06 12:45:00,42191.4,42195.1,42078.25,42093.8
2022-09-22 12:15:00,40537.1,40598.85,40460.3,40481.1
2022-09-12 11:45:00,40658.9,40672.8,40624.35,40628.1
2022-03-23 15:15:00,36169.4,36184.65,36064.75,36084.9
2023-03-13 15:15:00,39502.9,39684.65,39502.9,39627.0
2023-04-05 10:45:00,40871.6,40872.8,40814.15,40850.2
2023-06-22 12:15:00,43848.6,43869.35,43816.15,43864.6
2023-05-05 10:30:00,43539.4,43558.3,43494.7,43507.9
2022-12-12 10:45:00,43725.1,43756.85,43696.9,43724.4
2023-02-28 14:45:00,40177.4,40316.1,40160.3,40302.0
2022-10-07 13:00:00,38884.4,38909.95,38860.5,38874.3
2022-12-26 10:15:00,42143.9,42165.35,42073.35,42158.1
2022-07-12 09:30:00,35370.1,35391.75,35290.05,35290.1
2022-10-25 09:45:00,41250.4,41314.95,41229.2,41294.5
